Emp ID     Emp Name             Month      Present Days    Salary     Deducted Salary Net Salary
101        rahul                Jan        25              20000      3875            16125     
102        aarti                Feb        28              25000      24              24976     
103        sameer               Mar        26              18000      2920            15080     
104        priya                Apr        27              22000      2209            19791     
105        arjun                May        25              21000      4075            16925     
106        neha                 Jun        29              23000      786             22214     
107        rakesh               Jul        30              24000      780             23220     
108        komal                Aug        28              25000      2432            22568     
109        anil                 Sep        26              19000      2542            16458     
110        kriti                Oct        27              21000      2721            18279     
111        rohit                Nov        25              20000      3350            16650     
112        simran               Dec        28              22000      2148            19852     
113        amit                 Jan        30              21000      690             20310     
114        sunil                Feb        29              20000      -706            20706     
115        jaya                 Mar        26              23000      3734            19266     
116        karan                Apr        28              24000      1600            22400     
117        nisha                May        30              22000      730             21270     
118        deepak               Jun        29              25000      843             24157     
119        sushma               Jul        25              23000      4475            18525     
120        raj                  Aug        27              24000      3102            20898     
121        vikas                Sep        28              18000      1200            16800     
122        mohan                Oct        30              19000      640             18360     
123        sakshi               Nov        29              21000      700             20300     
124        vikram               Dec        28              22000      2148            19852     
125        manish               Jan        27              25000      3238            21762     
126        abhishek             Feb        30              23000      -1630           24630     
127        preeti               Mar        25              20000      3875            16125     
128        nidhi                Apr        29              24000      800             23200     
129        yash                 May        28              25000      2432            22568     
130        gaurav               Jun        30              22000      10              21990     
131        sapna                Jul        26              20000      3230            16770     
132        parul                Aug        27              22000      2857            19143     
133        rahul                Sep        25              24000      4000            20000     
134        vijay                Oct        28              23000      2252            20748     
135        simran               Nov        29              25000      843             24157     
136        abhi                 Dec        30              21000      690             20310     
137        rakesh               Jan        26              18000      2920            15080     
138        anita                Feb        29              20000      -706            20706     
139        pradeep              Mar        25              25000      4850            20150     
140        amit                 Apr        28              22000      1476            20524     
141        raj                  May        30              24000      780             23220     
142        neha                 Jun        29              22000      743             21257     
143        manoj                Jul        28              25000      2432            22568     
144        nisha                Aug        30              23000      770             22230     
145        karan                Sep        27              20000      2018            17982     
146        vikas                Oct        29              21000      1367            19633     
147        amit                 Nov        28              22000      1476            20524     
148        deepak               Dec        30              24000      780             23220     
149        rohit                Jan        26              23000      3734            19266     
150        simran               Feb        29              25000      -868            25868     
151        sachin               Mar        27              24000      3102            20898     
152        anil                 Apr        30              22000      10              21990     
153        kriti                May        25              23000      4475            18525     
154        pradeep              Jun        28              20000      1352            18648     
155        sakshi               Jul        29              21000      1367            19633     
156        arjun                Aug        30              25000      820             24180     
157        priyanka             Sep        25              22000      3675            18325     
158        mohan                Oct        28              24000      2328            21672     
159        jaya                 Nov        29              23000      786             22214     
160        rajeev               Dec        30              20000      650             19350     
161        nidhi                Jan        27              23000      2993            20007     
162        rakesh               Feb        30              25000      -1760           26760     
163        komal                Mar        28              21000      2044            18956     
164        gaurav               Apr        29              22000      743             21257     
165        simran               May        26              25000      4044            20956     
166        abhi                 Jun        28              23000      1552            21448     
167        rohit                Jul        30              24000      780             23220     
168        sapna                Aug        29              20000      1295            18705     
169        nisha                Sep        27              22000      2209            19791     
170        vijay                Oct        28              25000      2432            22568     
171        anita                Nov        29              18000      600             17400     
172        sakshi               Dec        30              23000      770             22230     
173        amit                 Jan        26              24000      3876            20124     
174        sunil                Feb        28              21000      0               21000     
175        karan                Mar        30              25000      820             24180     
176        abhishek             Apr        27              22000      2209            19791     
177        parul                May        25              23000      4475            18525     
178        simran               Jun        28              20000      1352            18648     
179        raj                  Jul        29              24000      1554            22446     
180        anil                 Aug        30              23000      770             22230     
181        deepak               Sep        26              21000      2800            18200     
182        kriti                Oct        28              25000      2432            22568     
183        neha                 Nov        29              22000      743             21257     
184        mohan                Dec        30              24000      780             23220     
185        vikas                Jan        25              20000      3875            16125     
186        sakshi               Feb        29              21000      -750            21750     
187        vijay                Mar        30              24000      780             23220     
188        parul                Apr        28              25000      1676            23324     
189        gaurav               May        29              22000      1439            20561     
190        rohit                Jun        27              24000      2400            21600     
191        rajeev               Jul        30              20000      650             19350     
192        preeti               Aug        28              23000      2252            20748     
193        anita                Sep        29              21000      700             20300     
194        rakesh               Oct        30              25000      820             24180     
195        karan                Nov        27              22000      2209            19791     
196        deepak               Dec        29              23000      1511            21489     
197        priyanka             Jan        30              24000      780             23220     
198        amita                Feb        28              20000      8               19992     
199        simran               Mar        29              22000      1439            20561     
200        yash                 Apr        30              25000      10              24990     
